"pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
5.6,5.2047514779492,5.15702454326196,5.17442904211699,4.92633062276921,4.55854682484711,3.71551878958796,3.75489299325077,7.61929202576619,10.0605198413051,12.9170207286629
5.3,5.72230901449094,5.58680736657252,5.40491833492405,5.07059769004401,4.55687632429945,3.65541716191635,3.93997068063838,5.81778959103233,11.7153833166593,16.4305341234101
5.4,5.403199862162,5.40481682301744,5.15057386081365,4.80186892404107,4.18318890860015,3.68221622876558,3.63603431262353,5.87374624957295,8.12093900956225,10.403879827098
4.7,5.46808485944204,5.4360776688618,5.31332905561607,5.17551737425926,4.68284647000167,3.80561962294057,4.18110583584554,6.48263742413176,8.27098732721419,9.73823086596562
4.9,4.86738591489229,4.81564897083933,5.0756073220763,5.17551737425926,5.1891417355617,4.40246088393141,4.14685905126399,6.95468643848756,8.15740037435842,9.3274885698291
5.3,5.04415688937112,5.06546064469362,5.22012671799823,5.43117974612286,5.7796939888354,5.18131950785684,4.61344861968943,7.15207817199082,8.53639057489442,9.27028850482267
5.6,5.44749487729754,5.45664495023202,5.19050966622319,4.88058769795075,4.61923470470891,4.30397702259742,3.78003565341796,6.65955713483002,8.50398687159767,9.42404647834415
6.2,5.74870071076597,5.77299297052963,5.80834360257562,5.8435624553981,5.73173672511263,5.11546905214893,4.1146361819235,6.93874422587441,8.44179417883679,9.15690899504595
5.9,6.17394057942022,6.24667226239097,6.42803224294472,6.93527504561153,7.28421634330219,7.74534542698479,8.07427357589178,9.80615645774615,10.2182495704732,9.91222613051862
6.3,5.96645955382186,5.88848517162903,6.12225392691502,6.29220032810094,6.80877810826141,7.50485392411101,7.37807614593101,9.50430203834109,9.87446390883925,9.57316244397091
6,6.38179555674437,6.2405763783287,6.01192989916296,5.58748097259169,5.2086937308208,5.83991719619739,6.39619230106073,8.6523923137853,8.65390472310512,8.68343365419484
5.3,6.05357843791851,6.06490315471244,5.92026115724199,5.82794564149572,5.28940813471475,4.88276409857971,5.07186420655198,8.0550383298798,8.52397958033327,8.6028587182586
4.9,5.16249417546785,5.23282923461988,5.10256872152142,5.08690179272066,4.97994855915464,4.10955038735466,4.61168452666456,7.73782190797803,8.34469571078705,9.32908007539454
4.7,4.76106319764001,4.77979603070278,4.62523450424113,4.67297472109544,4.41389832789467,3.77594826148322,4.29119367207831,8.35012748716789,8.73590538124809,9.37781161631957
4.8,4.6810952411364,4.61286813548635,4.71980175381132,5.04007101626151,5.26128700799957,4.78547869157796,4.87237081327016,8.28819116400061,8.71635711189144,8.80087364291161
4.8,4.80358317939283,4.76021598469485,4.98412091101829,5.15553069360148,5.30778476316768,4.55145996299201,3.96937175672806,5.53426380420926,6.49343795471944,6.79475438030251
5.3,5.28253417516146,5.46460777941328,5.7344889575993,5.98052804867124,6.67765123276747,6.04479903008987,6.04034862303522,8.34207611008899,9.09303679234346,9.2429631410522
5.7,5.95000315700787,6.03634960448752,6.28569346082367,6.72806943209837,7.35631936453954,8.46911550017891,9.1995961757252,12.4477340000205,11.5887595507757,10.9927506067119
5.7,6.34713324495734,6.33829312706384,6.6217753756853,6.95390097856468,7.59164842182687,8.98428921570952,9.08950167859308,12.2697632258935,12.2929850668212,12.4188800081918
5.9,6.34713324495734,6.34784660554381,6.65299615660923,6.93083985293834,7.6703852186383,9.59812279556825,9.63044123322606,14.1175129688936,14.0467454903025,14.5586811444241
5.9,6.49048549383287,6.43967646160154,6.68321456954518,6.85632488548958,7.32477000137933,8.80358023649075,8.5947768275517,13.2335169135472,14.4273429769992,15.4082525836858
5.9,6.30878456734467,6.25028096925273,6.32578591600619,6.25554456173575,6.39903968220897,7.20586680545361,8.64748458835237,13.1770505325041,14.3644667691391,15.4730413515199
6.1,6.13678150883099,6.04245496933984,6.24412972804656,6.42538516089492,6.60805974739125,6.7417664230986,7.45555726938111,12.6920327010566,14.2500167508918,15.5153228257129
