"","pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
"7047",6.9,6.91344690322876,6.92420816421509,6.46062088012695,6.81538820266724,6.53247451782227,6.71445083618164,5.83605098724365,6.57556438446045,7.8669319152832,9.26551342010498
"7048",17.2,8.98672199249268,9.14330005645752,8.79395294189453,9.43984603881836,9.64265537261963,10.2765808105469,9.65309143066406,8.13722038269043,9.25752639770508,10.036584854126
"7049",8,18.4462776184082,18.8698577880859,18.3507881164551,18.6039142608643,17.8453884124756,17.2895832061768,16.9606838226318,14.186146736145,12.4312868118286,11.4258832931519
"7050",10.8,8.14867973327637,8.18334770202637,7.53346872329712,8.19276428222656,8.73448848724365,9.8974027633667,10.2538900375366,11.1246995925903,11.6180095672607,11.4424247741699
"7051",60.8,13.0941648483276,13.5734920501709,13.0014982223511,13.1437644958496,12.9091053009033,12.329906463623,10.9249038696289,10.5380630493164,11.4419450759888,11.8516473770142
"7052",14.8,47.4656257629395,49.0915832519531,48.2967910766602,47.8524627685547,45.0651092529297,41.5957183837891,37.6746520996094,14.149995803833,10.6860551834106,10.1981401443481
"7053",16.3,5.53651905059814,6.2427978515625,6.2876181602478,7.07724094390869,9.7461633682251,15.8404960632324,18.5264930725098,9.79695796966553,9.13399314880371,9.45133209228516
"7054",10.7,14.5153026580811,15.1769609451294,16.6463871002197,16.2833290100098,15.7686634063721,16.4342861175537,17.3524913787842,11.2695770263672,9.67439842224121,9.38335418701172
"7055",11.4,8.42287158966064,9.10794067382812,9.66282749176025,9.45095634460449,9.87575721740723,10.7179393768311,11.7515535354614,9.47486019134521,8.81401538848877,9.0923433303833
"7056",10.4,8.8178071975708,10.4487361907959,10.9213132858276,9.82727241516113,9.95399284362793,9.24582576751709,8.99517154693604,6.57249355316162,7.0317268371582,8.00581550598145
"7057",9,8.74966335296631,8.86396789550781,9.2096643447876,9.17514801025391,9.1760368347168,8.19310760498047,7.51615619659424,6.36547565460205,6.71585083007812,7.96844053268433
"7058",11.2,9.55232429504395,9.87866497039795,9.77408218383789,9.90668106079102,9.91005992889404,9.09033203125,7.36968612670898,5.64270782470703,6.61093235015869,7.77262306213379
"7059",11.7,11.7153720855713,12.1074848175049,12.2820653915405,12.8356246948242,13.2097663879395,14.0017900466919,13.9186391830444,8.49014663696289,8.29705715179443,8.54148864746094
"7060",7.9,11.1901378631592,11.3304290771484,11.0477857589722,10.9117221832275,10.4070320129395,9.26809024810791,7.86160087585449,6.03179216384888,6.81437492370605,7.70287799835205
"7061",9.1,6.96251201629639,7.09578800201416,7.06080532073975,7.12891721725464,7.29745292663574,7.28866767883301,6.80380058288574,6.22500610351562,7.34626293182373,7.95221662521362
"7062",7.4,8.91696262359619,9.18855667114258,9.22875881195068,9.38541603088379,9.45856189727783,9.58980941772461,9.32868385314941,8.52259826660156,8.82628154754639,8.85687351226807
"7063",6.8,7.01550960540771,7.17121315002441,7.13991117477417,7.24518823623657,7.53475666046143,7.81933498382568,7.81289768218994,8.48300457000732,8.99357795715332,8.9337100982666
