"","pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
"1",5.6,4.65875625610352,4.59665203094482,4.74226760864258,4.9324369430542,4.85473918914795,5.21352529525757,5.27345561981201,5.66069507598877,3.35204148292542,1.17877674102783
"2",5.3,5.25808668136597,5.17042779922485,5.32435035705566,5.42117023468018,5.450355052948,5.86077499389648,5.99684238433838,6.38475131988525,4.25843858718872,2.39715027809143
"3",5.4,4.88112926483154,4.78501987457275,4.94808387756348,5.03811550140381,5.11177492141724,5.52389812469482,5.68789958953857,6.19155883789062,4.25465488433838,2.59178829193115
"4",4.7,5.0848217010498,4.97775316238403,5.12368011474609,5.22956228256226,5.3172664642334,5.75395488739014,5.92572975158691,6.45973491668701,4.51432418823242,2.83912301063538
"5",4.9,4.47100114822388,4.36138916015625,4.44903659820557,4.5636773109436,4.77224254608154,5.245041847229,5.61284971237183,6.3340106010437,5.06636142730713,3.97287797927856
"6",5.3,4.83954906463623,4.7577018737793,4.80925369262695,4.91726732254028,5.12455081939697,5.59946823120117,6.01526355743408,6.71340370178223,5.58128261566162,4.56679344177246
"7",5.6,5.18157291412354,5.12083053588867,5.20052051544189,5.29173803329468,5.47626113891602,5.93917465209961,6.26180744171143,6.85279178619385,5.40565395355225,4.15713548660278
"8",6.2,5.40634298324585,5.3469181060791,5.44358921051025,5.5442943572998,5.70697784423828,6.17562198638916,6.42644786834717,6.99191856384277,5.36054039001465,3.9574978351593
"9",5.9,6.00408935546875,5.94838094711304,6.04727077484131,6.14336967468262,6.30764579772949,6.76368713378906,6.9498872756958,7.44519996643066,5.72231864929199,4.28739643096924
"10",6.3,5.55673265457153,5.49864101409912,5.62557506561279,5.7414083480835,5.91193675994873,6.38717937469482,6.5251293182373,7.08409214019775,5.32310962677002,3.82557368278503
"11",6,5.97636842727661,5.91265869140625,6.03388023376465,6.1534743309021,6.28291034698486,6.63861036300659,6.60789394378662,7.01308250427246,5.12895488739014,3.55682611465454
"12",5.3,5.59267663955688,5.54404449462891,5.65163803100586,5.75172710418701,5.92234516143799,6.22833728790283,6.18887519836426,6.63931465148926,5.00198268890381,3.71164727210999
