"pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
5.6,4.30202992161799,4.28840291111358,4.23078626473967,4.14988583839934,3.95464729806492,3.20331177401662,1.99748921340582,0.70081471660726,2.41678629541497,3.90378515089181
5.3,5.01273154700398,4.95393516243522,4.71611610732775,4.41875429948173,3.85129170975367,2.47304953320325,0.82943953332554,-1.2613991920854,1.17643387461392,3.35207114895001
5.4,4.76656038018788,4.71846293639255,4.52552950958741,4.28230555548214,3.78897129390172,2.37696142651679,0.559977327857897,-1.78054429739499,0.780872219209448,3.10817472915886
4.7,4.9873860366939,4.9648482562232,4.87224397642751,4.7499486287453,4.48024021246474,3.52650814470646,2.04993867362858,0.319054390982698,2.2954304510704,4.04483354001716
4.9,4.70267251831219,4.74638459168242,4.92280396357868,5.13940973611522,5.52084835991234,6.02504292710616,5.55419066583945,2.77399875627707,3.63733552126938,4.62912396117385
5.3,5.05762644632588,5.10306230690161,5.28381808435987,5.50777217499652,5.94635934926899,6.99804198016274,7.50379974906887,5.49620025761256,5.4721037157442,5.6645833372873
5.6,5.25812482737082,5.19927764621473,4.96603855165741,4.68997444475081,4.23796181798998,3.75442653976855,3.91615342678335,3.7861303485285,4.47940726443562,5.14407516038832
6.2,5.46383859781403,5.49731154238382,5.62682299616854,5.76989232812931,5.96354710204625,6.06385096876008,6.11944874062756,6.11171905875248,6.08323479632168,6.06231204596253
5.9,6.0125852009448,6.08211959967015,6.35662405402849,6.68825615562297,7.29202128602124,8.46558521973635,9.25977839921405,10.4128445838505,9.19746510103375,7.97195620272776
6.3,5.64302944530201,5.68916722431387,5.87466524186628,6.11014458278451,6.59628691065708,7.9977161110744,9.54711975493309,11.9110580791136,10.2339711881255,8.53800792555147
6,5.98951849579691,5.92005838352618,5.64389778883339,5.31618060451524,4.784142418209,4.37508466095906,5.469182086336,9.39524157201372,8.64153991598958,7.66203820134972
5.3,5.73572700616319,5.72519973254898,5.68273354252478,5.62259996321987,5.45998939324039,4.92992334803426,4.98810450370932,7.39811147810852,7.29542370420967,6.97714373832133
4.9,5.31077992756454,5.29389836504714,5.23049271556644,5.16168452396276,5.0552061944212,4.8079222248474,4.76086302680861,7.30573899187039,7.28809383714281,7.00452481448434
4.7,4.967813644755,4.95920016466894,4.92547071013776,4.88310615732829,4.79187608786426,4.44942062663771,3.89398588349788,4.45013132833979,5.29952276254224,5.93477502700393
4.8,4.71621760959055,4.75645170778101,4.91835234439355,5.11871700982475,5.49035960719582,6.25445139805461,6.82539084730118,7.57446810940341,7.42009973756777,7.19854004158001
