"pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
5.6,5.03215091954023,5.00455954022989,5.03107666666666,4.96792583333333,4.08187861111111,3.24075361111111,4.38133333333333,8.15852540229885,13.1611004022989,14.8980565517241
5.3,5.82346333333333,5.75458333333333,5.50961333333333,5.0414111111111,4.06387124521072,3.25077,4.39688666666666,6.65620620689655,9.94641022988505,10.9222035632184
5.4,5.35861862068966,5.17698862068966,5.16538,4.74264666666666,3.81465722222222,3.16097333333333,3.84960666666666,5.7289026724138,8.27021827586207,9.10935103448276
4.7,5.66189333333333,5.61221333333333,5.53192,5.20935,4.3014941954023,3.24126333333333,4.510235,7.55136844827587,8.26692172413793,10.1102816091954
4.9,4.67437459770114,4.68834436781609,5.16376333333333,5.29909666666666,4.90299454022989,3.98605666666666,4.32899111111111,6.24374339080459,7.4127575862069,7.94013689655172
5.3,4.98149298850574,5.03460333333333,5.41629666666667,5.37944045977012,5.867155651341,4.68634712643678,4.596975,7.44652603448276,7.73348327586206,7.72683568965518
5.6,5.52039666666666,5.49659,5.12788999999999,4.86048444444444,4.70047111111111,4.01786551724138,3.53975,6.13795494252873,8.32372074712644,9.85791931034481
6.2,5.89730333333333,5.85354666666666,5.75744666666667,5.94272367816091,5.71436816091954,4.43412333333333,4.17701413793104,5.7993832183908,7.24783396551724,7.40897701149426
5.9,6.26153310344828,6.29015356321839,6.60099,6.98737,7.10920066666667,8.42486040000001,9.17282833333333,7.59911,8.88821896551723,7.58579114942529
6.3,5.9347083908046,5.88331000000001,6.23887266666667,6.69192034482759,6.99379988505747,8.16399333333333,8.4905064,9.89205793103449,8.69990103448276,7.86468804597702
6,6.31955310344829,6.33626,6.09131632183909,5.65894666666667,5.49113034482758,5.66049632183908,5.57144166666666,9.0939506321839,6.04515796934867,7.18723747126437
5.3,5.94935793103449,6.09057793103448,5.98098402298851,5.80076,5.41970333333333,5.09377689655172,5.79956206896551,7.61983195402299,6.22915988505746,7.1638867816092
4.9,5.08217011494253,5.10363,5.28238896551724,5.36039333333334,5.07829844827586,4.87576264367816,4.97275172413793,6.56463482758621,5.75509436781609,8.34111666666667
4.7,4.75806540229885,4.83630137931035,4.79138333333334,5.02149777777778,4.91203666666666,4.22836,4.93456666666667,6.49830612068966,6.00100574712644,7.56042597701149
4.8,4.65109333333333,4.66746,4.83541666666667,5.16570781609195,5.18648833333333,5.149863697318,4.858585,6.94061206896551,7.19478511494253,8.74140620689655
4.8,4.80184908045977,4.92947333333333,4.93158137931034,5.12583666666667,5.48201373563218,4.13039333333333,3.23029916666667,4.50915324712644,4.94995715517241,5.49630471264369
5.3,5.08302425287356,5.28014862068965,5.60025390804597,5.56047218390805,6.45878528735632,5.78338172413793,5.36450833333333,8.91040494252874,11.1252056321839,10.5815418390805
5.7,5.71964540229885,5.72857287356322,6.05236137931035,6.4654827586207,7.42760666666667,8.22565563218391,10.8030416666667,20.1494265517241,23.8226989655173,19.0756929885057
5.7,6.08190333333333,6.05596896551724,6.5472008045977,6.92880091954022,7.6230191954023,8.22003091954023,8.51357666666667,15.0224225,15.06245,16.4498334482758
5.9,5.95940896551725,5.92846367816092,6.45386218390804,6.94461022988505,7.35995666666667,8.43174666666667,9.12308,17.1707642241379,17.7266651724138,19.853883908046
5.9,6.3129875862069,6.19404229885058,6.54148528735631,7.12065448275862,7.21208172413793,8.84057459770115,8.15462666666667,18.5722191666667,17.0538279310345,18.3704008045977
5.9,6.25022344827586,6.14653333333333,6.24685540229886,6.52049333333333,6.7363035632184,7.66331172413794,8.70485000000002,21.0755666666667,17.9805511494253,20.1197931034483
6.1,6.17664344827587,6.12786666666666,6.47237459770114,7.0756475862069,6.93366,7.61943666666666,9.04689000000001,15.3696181034483,14.1881448659004,19.6784774712644
6.4,6.43329206896551,6.40248804597701,6.32686068965517,6.44606528735632,6.45875747126437,6.59211505747127,7.32365666666666,14.7300275862069,20.5122772413793,23.5267837931035
5.9,6.41349574712644,6.48437712643679,7.03452954022988,6.68532873563219,6.52743666666666,5.87006333333333,6.26203333333333,10.1592645977011,14.4274847126437,17.9175169252873
5.5,5.74019609195402,5.9528191954023,6.48712724137931,6.66947034482758,6.96984666666667,7.41270333333333,7.71186666666667,10.9805871455939,13.1583787356322,14.6158994252873
5.8,5.57361114942528,5.47008793103448,5.16657505747126,5.12604666666667,5.35176091954023,6.76671333333334,7.54601333333333,9.48165494252873,11.4285229885057,14.4834870114942
