"pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
5.6,4.30202992161799,4.29101856849011,4.24411021980007,4.17935588595383,4.03205285022879,3.51285525655712,2.76816377018024,2.21059794871268,2.36686445015032,2.64437039353957
5.3,5.01273154700398,5.00152940997748,4.95462278193909,4.89160627961627,4.75350158219394,4.30007361144937,3.71005209729326,3.44234648962049,3.60147064780485,3.8434097758218
5.4,4.76656038018788,4.75573437712096,4.71085218484908,4.65152996359876,4.52454964703979,4.12765946778316,3.65025216799123,3.56420312259998,3.73280503300045,3.97847174216764
4.7,4.9873860366939,4.97649591055918,4.93144855461396,4.87212826203827,4.74584596140187,4.35580283697545,3.89603299835432,3.84232445747427,4.00539737871957,4.2342246098009
4.9,4.70267251831219,4.69200366447822,4.64974607611409,4.59821305818497,4.50154338064211,4.29156455903985,4.22729200766805,4.88124101725018,5.08531184452831,5.34791271750446
5.3,5.05762644632588,5.04703894605787,5.00550835549118,4.95578932696862,4.86569398059184,4.69442228942944,4.71360323398122,5.50365491562763,5.68991658761753,5.89010026889763
5.6,5.25812482737082,5.24726501926232,5.20367469551129,5.14919544601743,5.0424794468324,4.77581999482158,4.591678091932,5.03752382748106,5.22186594747156,5.44036373907536
6.2,5.46383859781403,5.45274601680291,5.40761471800853,5.34983772194302,5.23208268054696,4.90402666390855,4.59112195613083,4.81982958457908,4.9960109050193,5.20993157727665
5.9,6.0125852009448,6.00139077659128,5.95553324100954,5.89613067345691,5.77279450715844,5.41308630468392,5.03305232864006,5.14527039879716,5.31197036899889,5.50516002460864
6.3,5.64302944530201,5.63191745103927,5.58617690876021,5.52643702307637,5.40082677048431,5.02353987679367,4.60108820836597,4.63592278478523,4.81134874300071,5.04013903037125
6,5.98951849579691,5.97912755601819,5.93546829179721,5.87649080132107,5.74623353937287,5.31195409230515,4.73403676005089,4.43020106423491,4.57199315171948,4.77128938142554
5.3,5.73572700616319,5.72603709413012,5.68565867166379,5.63183785675165,5.51520941938868,5.14106674033203,4.67147408522797,4.52016713403944,4.67100615230012,4.8834065545447
4.9,5.31077992756454,5.30168086931553,5.26433379818186,5.21579336678376,5.11448779336969,4.81539668001506,4.49152308631397,4.5632887002556,4.72207018618776,4.95564209740962
4.7,4.967813644755,4.95930036395337,4.92432144710858,4.87877884142857,4.78347211134636,4.50029675319385,4.1897526062662,4.24454549654211,4.39814896770614,4.63323113513866
