"vars","lm","gbm","ranger"
"hour",14.7711625694899,1.48863042855903,2.09482895979455
"month",4.70376437714039,0,0.0293954355105478
"pm25_1",100,100,100
"pm25_2",6.87612530807144,0.518453709692542,38.8884298105717
"pm25_3",2.55509951937679,0.240853170682299,16.4198558090411
"pm25_4",2.74317494242916,0.100548621126084,5.16241940963576
"pm25_5",0.792480525533883,0.0367399188502697,2.41891548158214
"pm25_6",0,0.0454863974314083,1.54420818323908
"pr",4.06907150859893,0.0355787012562448,0.719916461480461
"temp",10.0117234397864,0.720391634646986,1.49299954911109
"wd",2.71599916130319,0.190059718805539,0.929708870536241
"wday",1.89804360639369,0.0164101919496973,0
"ws",14.9934827405631,1.69746297492927,3.55245637194139
