"pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
5.6,5.2047514779492,5.10903129539718,5.13520331963774,5.16229004560163,4.96539080276581,4.85970297429177,5.4310095599727,5.10759438276676,4.81466649633092,5.43313484286271
5.3,5.72230901449094,5.61014356741282,5.57423207358971,5.47052858074815,5.35230712167101,5.20558388758228,5.75832997891365,5.77237347559592,5.42281139704788,5.64700354875732
5.4,5.403199862162,5.35968293157454,5.33538454140308,5.23969963399857,5.10330378085402,5.08405036359291,5.62770438190666,5.68350777433018,5.16429106981701,5.40906141358538
4.7,5.46808485944204,5.39622233802731,5.3824314204514,5.34609365494861,5.22803684328607,5.10221893588728,5.65372594739353,5.71010170625533,5.26551565712549,5.50155985298319
4.9,4.86738591489229,4.76764823309986,4.75862925086637,4.68234486838387,4.6101281241843,4.64194078976881,5.22678886598007,5.14068091695351,4.79745878440666,5.08379304027354
5.3,5.04415688937112,5.02358799397092,5.02234554557761,4.92233984810909,4.85755066331052,4.83731187132064,5.35308859227148,5.50308059065224,5.21836233530737,5.301422467648
5.6,5.44749487729754,5.40765950634009,5.37687038028954,5.29995934767254,5.15707364563653,5.19050339893481,5.69367754114897,5.85009365134347,5.45818654214271,5.41011818271177
6.2,5.74870071076597,5.65367071371714,5.61190892079545,5.53103835250193,5.41119241102597,5.31203692292418,5.82564155323172,5.94539978416227,5.59970250389249,5.64806031788371
5.9,6.17394057942022,6.1572349378549,6.17602828029452,6.10944972785607,6.02417509089211,5.74124251636864,6.14951237489897,6.36513873074575,6.30786634394014,6.35880263862927
6.3,5.96645955382186,5.87291569712676,5.9071146753491,5.77179789597539,5.68907642731976,5.50333198144081,5.91585822350226,5.9895181698082,5.70153032894456,5.85891256571938
6,6.38179555674437,6.21488220943303,6.21288385856025,6.19784269436995,6.09031951703895,5.84480300796277,6.16311455734926,6.19805317543529,6.30888233766817,6.35880263862927
5.3,6.05357843791851,5.9264977269721,5.98918359674212,5.88761762552204,5.75780675073809,5.54886521152248,6.01941700224957,6.19700105063433,5.84373840582528,6.04778461275111
4.9,5.16249417546785,5.18362983449267,5.15940146909101,5.1325659248608,5.10507407246761,4.94517843190683,5.43043254501831,5.5915873141884,5.33944343752664,5.32277484976574
4.7,4.76106319764001,4.81601621296851,4.78061544997376,4.68134068346613,4.61334329866468,4.6310990130448,5.02969029155824,5.18861012092319,4.7989563654701,4.93397444951631
4.8,4.6810952411364,4.62973519590071,4.56865595512928,4.5172276738373,4.42251354829828,4.49907004876959,4.94564093962233,4.86819076818608,4.2605205765303,4.71634502214185
4.8,4.80358317939283,4.77303112516047,4.7569100875584,4.70918138537533,4.61435600248563,4.67217397349557,5.14059379709853,4.94965275939589,4.48303811658089,4.76831358228266
5.3,5.28253417516146,5.25234226539175,5.29896440443197,5.29845855472323,5.10840740309619,5.20292743975391,5.84738932649157,5.788251287109,5.40312559810899,5.27007007656258
5.7,5.95000315700787,5.91353223403718,5.94108369313133,5.84780261837111,5.68506917925365,5.80243063418915,6.41927900042353,6.88567579979623,6.37832605815289,5.98713113715648
5.7,6.34713324495734,6.22572715506357,6.15981818186377,6.09674839237383,6.05879772116766,6.11771807317567,6.55914748093992,6.89247299399673,6.46230850618133,6.28880704652798
5.9,6.34713324495734,6.22572715506357,6.15981818186377,6.09674839237383,6.05879772116766,6.11771807317567,6.55914748093992,6.88896444952628,6.56447347161736,6.30332174460618
5.9,6.49048549383287,6.39512447859712,6.4173138939677,6.30007341248652,6.21875107834332,6.15070668262422,6.6592799565951,6.99773466297479,6.72430758066981,6.49333014445673
5.9,6.30878456734467,6.22087530691997,6.22776994774744,6.11213330191815,5.99132154212498,5.98349776658847,6.50404145881957,6.54596788353766,6.49481398267701,6.49333014445673
6.1,6.13678150883099,6.0787195018309,6.08266732335114,5.95964124818331,5.8524546770047,5.79762621316374,6.25523098041144,6.72482096722901,6.32343093427212,6.42743539774542
6.4,6.14970626984149,6.11423638383578,6.02561790102518,6.01133405713847,5.91060903131601,5.74192821538421,6.22284991136101,6.78826783601068,6.62975725065133,6.65093436692775
5.9,6.35196702074335,6.31322331484457,6.29032335936951,6.24331203863245,6.22659539080625,5.89015846168375,6.05256542230017,6.44232920698473,6.76700136738544,6.73707615907937
5.5,5.92236983648162,5.84673828505946,5.86046564602024,5.71099029358981,5.6302331704939,5.41132707094688,5.79360426786714,5.89894727739285,5.73816811096634,5.85785579659299
5.8,5.63455909334794,5.53190762726561,5.47304758304081,5.37185641400119,5.34887409133443,5.21874546780735,5.7238644144189,6.20204829374652,6.09048895119217,5.96932580751278
5.9,5.82637184884354,5.83792789938043,5.78007403369866,5.67689849896228,5.52863516631807,5.41602614419217,5.76216972367214,6.25818182779547,6.3353206625625,6.24116438124055
5.5,5.95399749219639,5.86053524223187,5.87435654351621,5.71099029358981,5.6302331704939,5.42207988755898,5.78704070176076,6.2429827128365,6.31986961031197,6.21194203458948
