"pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
5.6,5.03215091954023,4.96318655172413,4.94556103448276,4.98626172413794,5.04857413793103,4.97053954022989,4.85543586206897,5.00560149425287,4.91355218390805,4.93341
5.3,5.82346333333333,5.86078666666667,5.88888770114942,5.70197425287356,5.81108999999999,5.79665712643678,5.95734333333333,5.76565,5.73852333333333,5.73094
5.4,5.35861862068966,5.28351609195402,5.25618954022988,5.24869275862069,5.22220586206896,5.18823804597702,5.28682666666666,5.27673459770115,5.26446712643678,5.24776367816092
4.7,5.66189333333333,5.6536524137931,5.56644850574713,5.46604655172414,5.57183218390804,5.39468321839081,5.42039954022988,5.42656413793104,5.50130885057471,5.52417459770115
4.9,4.67437459770114,4.57823770114942,4.58492,4.72802,4.70405252873563,4.71967229885058,4.69275888888888,4.74723183908046,4.72491379310344,4.70282
5.3,4.98149298850574,4.96817137931034,4.95791,4.88912689655173,4.97840574712644,4.93805229885057,4.85712333333333,5.01815310344827,5.04071724137931,5.06578402298851
5.6,5.52039666666666,5.47715666666667,5.47146333333333,5.48550896551724,5.41352666666666,5.34007701149426,5.48006,5.38091,5.44543183908046,5.44116333333333
6.2,5.89730333333333,5.95911666666666,5.91439850574712,5.77174896551724,5.81259747126437,5.75914,5.75147333333333,5.79555333333333,5.85934942528735,5.81573666666668
5.9,6.26153310344828,6.35694586206896,6.22751597701149,6.25181689655172,6.59116620689656,6.28249505747126,6.24304045977011,6.32911666666667,6.50130459770115,6.36284264367816
6.3,5.9347083908046,5.94954770114943,5.92637666666667,5.85171045977012,5.82331931034484,5.90045149425287,5.88861999999999,5.97210850574713,5.94591643678162,5.8807291954023
6,6.31955310344829,6.35168022988506,6.31349965517242,6.28687149425288,6.61123080459772,6.43010735632185,6.36853712643679,6.48357103448277,6.46872333333334,6.32551862068966
5.3,5.94935793103449,5.87436931034482,5.80454045977012,5.83577873563219,5.80754954022989,5.91810977011494,5.89931643678161,6.02348068965518,5.96658482758621,5.83994448275862
4.9,5.08217011494253,5.02214850574712,5.02670333333333,5.00464011494253,5.00993735632183,5.07016425287356,5.03246137931035,5.08279712643678,5.05827666666667,5.0506491954023
4.7,4.75806540229885,4.7922227586207,4.70265183908046,4.74428896551725,4.76658310344829,4.78446666666667,4.74312333333334,4.81827666666667,4.73246586206897,4.72937367816092
4.8,4.65109333333333,4.60551816091954,4.73113195402298,4.64859057471264,4.62950689655173,4.73343,4.72190103448276,4.77709666666667,4.66929091954023,4.65496103448275
4.8,4.80184908045977,4.7994483908046,4.79721816091953,4.77957563218391,4.71149264367816,4.83578034482759,4.78369,4.82522977011495,4.74706643678161,4.77186735632184
5.3,5.08302425287356,5.08450166666666,5.04832045977012,5.06073,4.91895114942529,5.12645,4.98122333333333,4.97753310344827,4.88420482758621,4.96474310344828
5.7,5.71964540229885,5.61698804597702,5.6204716091954,5.75744666666666,5.70883367816092,5.56791149425287,5.61621666666667,5.59771494252873,5.54685275862069,5.66028448275862
5.7,6.08190333333333,6.15714586206897,5.99643287356322,5.91389609195403,6.13366816091954,6.17007655172414,6.10059229885057,6.06433149425287,5.9617159770115,6.00423816091955
5.9,5.95940896551725,6.00983609195402,5.93573827586207,5.83443448275863,5.86739724137932,5.98666126436782,5.85943252873564,5.87960597701149,5.83969770114943,5.91105068965518
5.9,6.3129875862069,6.27304655172414,6.44805068965518,6.35677252873564,6.28717701149426,6.30045379310345,6.26480367816092,6.29447034482758,6.30216770114943,6.31240931034483
5.9,6.25022344827586,6.17631988505747,6.28647068965517,6.17941252873563,6.28929333333334,6.37019275862069,6.36654540229885,6.35564390804598,6.2641491954023,6.24641942528736
